Date,Type,Country,State,Location,Activity,Sex,Age,Injury,Time,Species,Extracted_date,Month,Year,Age_group
26-Dec-2019,Unprovoked,PAPUA NEW GUINEA,CENTRAL PROVINCE,Ragelapara reef ,Fishing,M,33,Fatal,16h30,Unknown,Dec-2019,Dec,2019,Young Adult
26-Dec-2019,Unprovoked,SOUTH AFRICA,EASTERN CAPE PROVINCE,"Nahoon Beach, East London",Surfing,M,nan,Survived,07h00,Unknown,Dec-2019,Dec,2019,Unknown
21-Dec-2019,Unprovoked,USA,CALIFORNIA,"Santa Rosa Island, Ventura County",Surfing,M,37,Survived,16h15,Unknown,Dec-2019,Dec,2019,Adult
20-Dec-2019,Provoked,AUSTRALIA,NEW SOUTH WALES,Shellharbour,Fishing,Unknown,nan,Survived,,Great White,Dec-2019,Dec,2019,Unknown
06-Dec-2019,Unprovoked,AUSTRALIA,WESTERN AUSTRALIA,Exmouth,Diving,M,57,Survived,09h00,Unknown,Dec-2019,Dec,2019,Adult
03-Dec-2019,Unprovoked,USA,HAWAII,"Cove Park, Kihei, Maui",Paddle,M,57,Survived,10h00,Tiger Shark,Dec-2019,Dec,2019,Adult
30-Nov-2019,Unprovoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,9,Survived,,Blacktip Shark,Nov-2019,Nov,2019,Child
30-Nov-2019,Unprovoked,AUSTRALIA,QUEENSLAND,Bargara,Snorkeling,M,30,Survived,18h00,Unknown,Nov-2019,Nov,2019,Young Adult
23-Nov-2019,Other,AUSTRALIA,QUEENSLAND,"Elliot Head, near Bundaberg.",Fishing,M,38,Fatal,,Unknown,Nov-2019,Nov,2019,Adult
23-Nov-2019,Provoked,MEXICO,GUERRERO,Off Barra Vieja,Fishing,M,nan,Survived,15h00,Unknown,Nov-2019,Nov,2019,Unknown
12-Nov-2019,Unprovoked,USA,FLORIDA,"Cocoa Beach, Brevard  County",Surfing,M,30,Survived,,Blacktip Shark,Nov-2019,Nov,2019,Young Adult
09-Nov-2019,Other,SOUTH AFRICA,EASTERN CAPE PROVINCE,East London,Fishing,M,nan,Survived,06h50,Great White,Nov-2019,Nov,2019,Unknown
06-Nov-2019,Unprovoked,USA,CALIFORNIA,"San Onofre, San Diego County ",Surfing,F,nan,Survived,08h00,Great White,Nov-2019,Nov,2019,Unknown
02-Nov-2019,Other,REUNION ISLAND,SAINT-GILLES,L’Hermitage Lagoon,Snorkeling,M,44,Survived,,Tiger Shark,Nov-2019,Nov,2019,Adult
29-Oct-2019,Unprovoked,AUSTRALIA,QUEENSLAND,"Off Airlie Beach, Whitsundays",Snorkeling,M,28 & 22,Survived,10h20,Tiger Shark,Oct-2019,Oct,2019,Unknown
27-Oct-2019,Provoked,USA,FLORIDA,"New Smyrna Beach, Volusia County",Surfing,M,32,Survived,12h45,Unknown,Oct-2019,Oct,2019,Young Adult
25-Oct-2019,Unprovoked,USA,CALIFORNIA,"Cambria, San Luis Obispo County",Fishing,M,nan,Survived,08h30,Great White,Oct-2019,Oct,2019,Unknown
17-Oct-2019,Unprovoked,AUSTRALIA,QUEENSLAND,"Woorim Beach, Bribie Island,",Surfing,M,17,Survived,17h30,Unknown,Oct-2019,Oct,2019,Teen
08-Oct-2019,Unprovoked,USA,FLORIDA,"Fort Pierce, St. Lucie County",Surfing,M,20,Survived,12h00,Unknown,Oct-2019,Oct,2019,Young Adult
05-Oct-2019,Unprovoked,AUSTRALIA,NEW SOUTH WALES,Lighthouse Beach,Surfing,M,29,Survived,16h00,Great White,Oct-2019,Oct,2019,Young Adult
05-Oct-2019,Other,USA,CALIFORNIA,"Ship Rock near Catalina, Los Angeles County",Kayaking,M,51,Survived,16h30,Great White,Oct-2019,Oct,2019,Adult
28-Sep-2019,Provoked,AUSTRALIA,NORTHERN TERRITORY,"Nightcliff Jetty, Darwin",Fishing,M,45,Survived,Afternoon,Unknown,Sep-2019,Sep,2019,Adult
26-Sep-2019,Unprovoked,USA,HAWAII,"Kihei, South Maui",Surfing,F,nan,Survived,09h15,Unknown,Sep-2019,Sep,2019,Unknown
24-Sep-2019,Unprovoked,USA,FLORIDA,"Huguenot Park, Jacksonville, Duval County",Swimming,M,nan,Survived,17h00,Unknown,Sep-2019,Sep,2019,Unknown
